url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3076983628.html,Unknown,,,,,,,0,47,1199997,Hà Nội,https://img.lazcdn.com/g/p/3e13c63128cedee62b4eb770bb58aa39.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076955588.html,Unknown,,,,,,,0,50,1309000,An Giang,https://img.lazcdn.com/g/p/448bed97859c0571ae5441068be0aa82.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076933596.html,Redmi,note 11 pro,,,,,2,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076928737.html,Unknown,,,,,,,0,50,1109000,An Giang,https://img.lazcdn.com/g/p/14502e16da2f013d6b77bf07b5f08305.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076897923.html,OPPO,ren08pro,12GB,256GB,,5G,,0,50,900000,An Giang,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076861905.html,Samsung,a32 m y,,,,,2,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076046246.html,Redmi,note 10pro,8GB,128GB,5020 mAh,,,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3076017406.html,Redmi,note 12,8GB,128GB,5000 mAh,,,0,50,800000,Hà Nội,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3075992629.html,OPPO,ren08pro,12GB,256GB,,5G,,0,50,900000,Hà Nội,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3075984508.html,Samsung,m51,,,,,2,0,50,700000,Hà Nội,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3075910000.html,Unknown,,,,23800mAh,5G,,0,50,1459000,Hà Nội,https://img.lazcdn.com/g/p/a254e8c1c4db9d911c883a740dcc418f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3074844770.html,Unknown,,,,,,,0,47,1118838,Hà Nội,https://img.lazcdn.com/g/p/2806045b5328138208c4345c30a6c89d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3074801624.html,Unknown,,,,,5G,,0,45,1476100,Hà Nội,https://img.lazcdn.com/g/p/72afd1ec2f7a4011beba32d292cca332.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3074699815.html,Unknown,,,,,,,0,48,1355242,Hà Nội,https://img.lazcdn.com/g/p/2d7f58ad9e6b14e727602bfbf90eff7f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3074360893.html,Samsung,galaxy a16,4GB,128GB,,,,0,19,4126318,Hồ Chí Minh,https://img.lazcdn.com/g/ff/kf/S911838e386e24faaa7db2679b4767b54D.jpg_200x200q80.avif
